#F T1C T2C T1 T2 
0.04 1.5943460763313537 44.49668197392044 1.2093449309354676 44.49668197392041
0.04777777777777778 1.5991082173135123 37.14312286779453 1.2129916178639082 37.143122867794524
0.05555555555555556 1.6038615038493127 31.849963886876928 1.2165863527389558 31.849963886876928
0.06333333333333334 1.6086053277166947 27.858155342583025 1.2201273865888904 27.85815534258303
0.07111111111111111 1.6133390595636692 24.740732027703768 1.223612923782206 24.740732027703793
0.0788888888888889 1.6180620478822147 22.239109612787498 1.2270411208134158 22.23910961278702
0.08666666666666667 1.6227736179231222 20.187529137485473 1.2304100851007773 20.187529137485335
0.09444444444444444 1.6274730705481952 18.47483481275791 1.23371787380265 18.474834812757912
0.10222222222222223 1.6321596810159877 17.023701087984303 1.2369624926600258 17.023701087984445
0.11 1.6368326976970253 15.778672478156217 1.2401418948736966 15.778672478157823
