#F T1C T2C T1 T2 
0.04 1.59434607633 44.4966819739 1.20934493094 44.4966819739
0.0477777777778 1.59910821731 37.1431228678 1.21299161786 37.1431228678
0.0555555555556 1.60386150385 31.8499638869 1.21658635274 31.8499638869
0.0633333333333 1.60860532772 27.8581553426 1.22012738659 27.8581553426
0.0711111111111 1.61333905956 24.7407320277 1.22361292378 24.7407320277
0.0788888888889 1.61806204788 22.2391096128 1.22704112081 22.2391096128
0.0866666666667 1.62277361792 20.1875291375 1.2304100851 20.1875291375
0.0944444444444 1.62747307055 18.4748348128 1.2337178738 18.4748348128
0.102222222222 1.63215968102 17.023701088 1.23696249266 17.023701088
0.11 1.6368326977 15.7786724782 1.24014189487 15.7786724782
