#F T1C T2C T1 T2 
0.04 1.594346076331264 44.49668197392048 1.2093449309354576 44.49668197392049
0.0477777777778 1.5991082173134594 37.14312286779493 1.2129916178639015 37.14312286779493
0.0555555555556 1.6038615038492823 31.84996388687693 1.216586352738951 31.84996388687693
0.0633333333333 1.6086053277166776 27.858155342583025 1.2201273865888869 27.858155342583025
0.0711111111111 1.6133390595636599 24.740732027703768 1.2236129237822027 24.740732027703768
0.0788888888889 1.6180620478822096 22.239109612787487 1.227041120813412 22.239109612787487
0.0866666666667 1.6227736179231194 20.18752913748534 1.2304100851007727 20.18752913748534
0.0944444444444 1.627473070548194 18.47483481275791 1.2337178738026435 18.474834812757916
0.102222222222 1.632159681015987 17.023701087984307 1.2369624926600162 17.023701087984445
0.11 1.636832697697025 15.778672478156217 1.240141894873683 15.778672478157823
