#F T1C T2C T1 T2 
0.04 1.16926497226 44.110569875 1.13310970287 44.110569875
0.05 1.17574176909 35.0747250336 1.13990626713 35.0747250336
0.06 1.18225147898 29.052198776 1.14673009105 29.052198776
0.07 1.18879430971 24.7515623162 1.15358125872 24.7515623162
0.08 1.19537048424 21.5271011324 1.1604598649 21.5271011324
0.09 1.20198024212 19.0200848073 1.16736601592 19.0200848073
0.1 1.20862384101 17.0152749639 1.17429983073 17.0152749639
0.11 1.21530155835 15.3757015991 1.18126144188 15.3757015991
