0.0 0.0
0.01 0.04
0.02 0.07902
0.03 0.11706
0.04 0.15412
0.05 0.1902
0.06 0.2253
0.07 0.25942
0.08 0.29256
0.09 0.32472
0.1 0.3559
0.11 0.3861
0.12 0.41532
0.13 0.44356
0.14 0.47082
0.15 0.4971
0.16 0.5224
0.17 0.54672
0.18 0.57006
0.19 0.59242
0.2 0.6138
0.21 0.6342
0.22 0.65362
0.23 0.67206
0.24 0.68952
0.25 0.706
0.26 0.7215
0.27 0.73602
0.28 0.74956
0.29 0.76212
0.3 0.7737
0.31 0.7843
0.32 0.79392
0.33 0.80256
0.34 0.81022
0.35 0.8169
0.36 0.8226
0.37 0.82732
0.38 0.83106
0.39 0.83382
0.4 0.8356
0.41 0.8364
0.42 0.83622
0.43 0.83506
0.44 0.83292
0.45 0.8298
0.46 0.8257
0.47 0.82062
0.48 0.81456
0.49 0.80752
0.5 0.7995
0.51 0.7905
0.52 0.78052
0.53 0.76956
0.54 0.75762
0.55 0.7447
0.56 0.7308
0.57 0.71592
0.58 0.70006
0.59 0.68322
0.6 0.6654
0.61 0.6466
0.62 0.62682
0.63 0.60606
0.64 0.58432
0.65 0.5616
0.66 0.5379
0.67 0.51322
0.68 0.48756
0.69 0.46092
0.7 0.4333
0.71 0.4047
0.72 0.37512
0.73 0.34456
0.74 0.31302
0.75 0.2805
0.76 0.247
0.77 0.21252
0.78 0.17706
0.79 0.14062
0.8 0.1032
0.81 0.0648
0.82 0.02542
0.83 -0.01494
0.84 -0.05628
0.85 -0.0986
0.86 -0.1419
0.87 -0.18618
0.88 -0.23144
0.89 -0.27768
0.9 -0.3249
0.91 -0.3731
0.92 -0.42228
0.93 -0.47244
0.94 -0.52358
0.95 -0.5757
0.96 -0.6288
0.97 -0.68288
0.98 -0.73794
0.99 -0.79398
